"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"35","CA","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,"0",NA,"Very closely","Strongly oppose","Yes","No","No",NA,"No","Yes","No",NA,"Not employed",NA,"No",NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"26","GA","Very happy","Not important","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Less often","20",NA,"Very closely","Favor","Yes","Yes","No","Yes","Yes","Yes","No",NA,"Not employed",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"54","IA","Pretty happy","Not important","Very important but not the most","Not important","Very important but not the most","Not important","Not important","One of the most important things","Not important","Yes","Less often",NA,NA,"Fairly closely","Favor","Yes","No","No","No",NA,"Yes","No",NA,"Full-time","Lived with someone else",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"32","MI","Very happy","Very important but not the most","One of the most important things","Somewhat important","One of the most important things","One of the most important things","Not important","One of the most important things","Very important but not the most","Yes","Less often","50",NA,"Very closely","Favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"22","FL","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"0",NA,"Fairly closely","Strongly oppose","Yes","No","No","No","No","No","No",NA,"Full-time",NA,"Yes","Rent","Technical, trade, or vocational school AFTER high school","Not covered by health insurance"
"59","KY","Very happy","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,"0",NA,"Very closely","Strongly oppose","No","No","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"24","FL","Not too happy","Somewhat important","One of the most important things","Somewhat important","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Less often","1",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","No","Yes","Yes","2","Part-time",NA,"Yes","Rent","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"65","NC","Pretty happy","Not important","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","One of the most important things","Yes","Several times a day","4",NA,"Not too closely","Strongly favor","Yes","No","No","No","Yes","Yes","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"32","FL","Very happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","20",NA,"Very closely","Strongly favor","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"50","IL","Pretty happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","(VOL) Don't know/Refused","Very important but not the most","No",NA,"10",NA,"Very closely","(VOL) Don't know/Refused","Yes","Yes","Yes","No","No","No","No",NA,"Part-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"19","TX","Very happy","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","No","Yes","No",NA,"Yes","No",NA,"Not employed",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"71","KS","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","18",NA,"Fairly closely","Favor","Yes","No","Yes","No","No","Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"40","NC","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","5",NA,"Very closely","Oppose","Yes","Yes","No","No","No","Yes","No",NA,"Not employed","Lived with current spouse before married",NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"35","NY","Very happy","Somewhat important","Somewhat important","Somewhat important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Somewhat important",NA,NA,"0",NA,"Very closely","Favor","Yes","No","No",NA,"No","No","No",NA,"Not employed",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"62","OH","Not too happy","Somewhat important","Very important but not the most","Not important","One of the most important things","Not important","Not important","Very important but not the most","Not important","No",NA,NA,NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"53","UT","Pretty happy","Not important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Very important but not the most","Yes","Every few days","0",NA,"Fairly closely","Favor","Yes","Yes","No","Yes","No","Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"56","TX","Not too happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly oppose","No","No","No",NA,NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"72","TX","Very happy","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Very closely","Oppose","Yes","No","No",NA,NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"43","TX","Very happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","Somewhat important","Somewhat important","No",NA,"3",NA,"Very closely","Strongly oppose","No","No","(VOL) Don't know/Refused","No","No","No","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"60","IA","Pretty happy","Very important but not the most","(VOL) Don't know/Refused","(VOL) Don't know/Refused","(VOL) Don't know/Refused","(VOL) Don't know/Refused","(VOL) Don't know/Refused","(VOL) Don't know/Refused","(VOL) Don't know/Refused",NA,NA,NA,NA,"(VOL) Don't know/Refused","(VOL) Don't know/Refused","Yes","No","No",NA,NA,"Yes","Yes","3","Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"24","CA","Very happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","One of the most important things","Not important","One of the most important things","Somewhat important","Yes","Every few days","100",NA,"Fairly closely","Strongly oppose","Yes","Yes","No","No","No","Yes","Yes","2","Not employed",NA,"(VOL) Don't know/Refused","(VOL) Don't know/Refused","High school graduate (Grade 12 or GED certificate)","(VOL) Don't know/Refused"
"57","PA","Very happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Somewhat important","One of the most important things","Very important but not the most","Yes","Less often","3",NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No","Yes","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"36","CA","Not too happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Not important","Yes","About once a day","40",NA,"Fairly closely","Favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time",NA,"Yes",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"52","OR","Very happy","Very important but not the most","One of the most important things","Not important","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly favor","Yes","Yes","No","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"35","CO","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"10",NA,"Fairly closely","Strongly oppose","No","Yes","Yes","No","No","Yes","Yes","1","Full-time","Lived with current spouse before married","No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"61","NJ","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"1",NA,"Fairly closely","Favor","Yes","Yes","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"58","AZ","Pretty happy","One of the most important things","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Somewhat important","One of the most important things","Very important but not the most","Yes","Every few days","3",NA,"Very closely","Oppose","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Full-time","Lived with both current spouse and someone else",NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"34","OR","Pretty happy","Somewhat important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Less often","2",NA,"Very closely","Favor","Yes","Yes","Yes","No","No","Yes","Yes","5","Part-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"42","WI","Pretty happy","Not important","Not important","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","3",NA,"Very closely","Favor","Yes","No","No","No","Yes","Yes","Yes","6","Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"54","CA","Pretty happy","Somewhat important","One of the most important things","Not important","One of the most important things","Very important but not the most","Not important","Very important but not the most","Not important","Yes","About once a day","6",NA,"Very closely","Favor","No","Yes","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"61","LA","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,"0",NA,"Very closely","Oppose","No","No","Yes",NA,"No","No","No",NA,"Part-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"57","MD","Not too happy","Very important but not the most","Somewhat important","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important",NA,NA,NA,NA,"Not too closely","Strongly oppose","Yes","No","No",NA,NA,"No","No",NA,"Full-time",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"19","IN","Pretty happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Yes","Several times a day","300",NA,"Fairly closely","Strongly oppose","No","No","No","No","Yes","Yes","Yes","16","Part-time",NA,"No","Own","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"77","AL","Very happy","Somewhat important","Very important but not the most","One of the most important things","Very important but not the most","Not important","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Oppose","Yes","No","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Technical, trade, or vocational school AFTER high school","Covered by health insurance"
"31","TX","Not too happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Less often","10",NA,"Fairly closely","Oppose","Yes","Yes","No","No","Yes","Yes","Yes","5","Full-time",NA,"No",NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"25","MO","Pretty happy","Very important but not the most","Not important","Not important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Somewhat important","Yes","Every few days",NA,NA,"Very closely","(VOL) Don't know/Refused","No","No","No","No",NA,"No","Yes","1","Not employed",NA,"No","Own","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"35","OK","Pretty happy","One of the most important things","Somewhat important","Somewhat important","Somewhat important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","Every few days","0",NA,"Fairly closely","Oppose","Yes","No","Yes","No","Yes","Yes","Yes","4","Full-time","Lived with both current spouse and someone else","No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"49","AR","Pretty happy","Somewhat important","Very important but not the most","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days",NA,NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No",NA,"Yes","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"26","PA","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","One of the most important things","Yes","About once a day","20",NA,"Very closely","Oppose","Yes","No","Yes","No","Yes","No","No",NA,"Not employed",NA,"Yes","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"26","WI","Very happy","Very important but not the most","One of the most important things","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Several times a day","10",NA,"Very closely","Strongly oppose","Yes","No","No","No","Yes","Yes","Yes","1","Part-time",NA,"No","Own","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"30","ME","Very happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","100",NA,"Fairly closely","Favor","No","No","No","No","Yes","Yes","Yes","2","Full-time","Lived with current spouse before married","No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"47","ND","Very happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Every few days","0",NA,"Fairly closely","Oppose","No","No","Yes","No","No","No","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"42","WI","Pretty happy","Very important but not the most","Very important but not the most","Not important","One of the most important things","Very important but not the most","Not important","Somewhat important","Very important but not the most","No",NA,NA,NA,"Fairly closely","Oppose","Yes","No","Yes","No",NA,"Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"83","MO","Pretty happy","Somewhat important","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"19","NM","Very happy","Not important","Very important but not the most","Somewhat important","One of the most important things","Somewhat important","Not important","One of the most important things","Very important but not the most","Yes","Several times a day","5",NA,"Very closely","Strongly favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Not employed",NA,"Yes","(VOL) Don't know/Refused","Some college, no 4-year degree (including associate degree)","(VOL) Don't know/Refused"
"33","CO","Not too happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Somewhat important","Very important but not the most","Very important but not the most","Yes","Several times a day","4",NA,"Very closely","(VOL) Don't know/Refused","Yes","No","Yes","Yes","No","Yes","Yes","9","Full-time","Lived with current spouse before married","No",NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"19","AZ","Pretty happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Very important but not the most","Yes","About once a day","20",NA,"Very closely","Strongly oppose","Yes","Yes","No","No","No","Yes","Yes","1","Full-time",NA,"No","Live with parents","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"VOL DON'T KNOW/REFUSED","UT","(VOL) Don't know/Refused","Not important","Very important but not the most","One of the most important things","One of the most important things","(VOL) Don't know/Refused","Not important","Somewhat important","Very important but not the most","No",NA,NA,NA,"Not at all closely","Strongly oppose","Yes","No","Yes","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"Technical, trade, or vocational school AFTER high school","Covered by health insurance"
"42","PA","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","One of the most important things","Yes","About once a day","20",NA,"Very closely","(VOL) Don't know/Refused","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"49","KY","Very happy","Not important","One of the most important things","One of the most important things","Not important","Very important but not the most","Not important","(VOL) Don't know/Refused","Very important but not the most","Yes","Less often",NA,NA,"Very closely","Oppose","No","Yes","Yes","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Technical, trade, or vocational school AFTER high school","Covered by health insurance"
"25","NC","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Less often","50",NA,"Not too closely","Favor","No","Yes","No","No","Yes","Yes","Yes","8","Not employed",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"20","IN","Very happy","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important","Somewhat important","One of the most important things","Very important but not the most","Yes","About once a day","0",NA,"Fairly closely","Oppose","Yes","No","Yes","No","Yes","No","No",NA,"Not employed",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"38","VA","Pretty happy","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Once a week","2",NA,"Not at all closely","Oppose","Yes","No","No","No","No","No","No",NA,"Full-time",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"33","TX","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","Yes","About once a day","3",NA,"Fairly closely","Favor","Yes","Yes","No","No","No","Yes","No",NA,"Full-time","Lived with current spouse before married","No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"34","NH","Pretty happy","Somewhat important","One of the most important things","Not important","One of the most important things","Somewhat important","Not important","Very important but not the most","Not important","Yes","Less often","5",NA,"Not too closely","Favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married","No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"19","WI","Very happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","Not important","Yes","About once a day","150",NA,"Very closely","Oppose","Yes","No","No","No","No","No","No",NA,"Part-time",NA,"No","Rent","High school incomplete (Grades 9-11)","Covered by health insurance"
"46","IA","Very happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","One of the most important things","One of the most important things","No",NA,"0",NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No","No","Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"62","MT","Very happy","Not important","One of the most important things","Not important","One of the most important things","Not important","Not important","One of the most important things","Very important but not the most","No",NA,"0",NA,"Fairly closely","(VOL) Don't know/Refused","Yes","No","Yes","No","No","No","No",NA,"Part-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"21","TX","Pretty happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Not important","Not important","Very important but not the most","One of the most important things","Yes","Less often","200",NA,"Very closely","Oppose","Yes","Yes","No","No","Yes","Yes","Yes","2","Full-time",NA,"No","(VOL) Other arrangement","High school incomplete (Grades 9-11)","Covered by health insurance"
"51","TX","Pretty happy","Not important","Very important but not the most","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Not important",NA,NA,NA,NA,"Not at all closely","Strongly oppose","No","No","No",NA,NA,"Yes","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"42","OR","Pretty happy","Not important","Somewhat important","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","One of the most important things","Yes","Every few days","2",NA,"Fairly closely","Strongly favor","Yes","Yes","No","No","Yes","Yes","Yes","3","Not employed","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"23","CA","Pretty happy","Not important","One of the most important things","Not important","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","100",NA,"Fairly closely","Favor","Yes","Yes","No","No","Yes","Yes","Yes","3","Not employed",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"28","NY","Pretty happy","Very important but not the most","One of the most important things","Somewhat important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Very important but not the most","Yes","About once a day","25",NA,"Very closely","Strongly oppose","Yes","Yes","No","No","No","Yes","Yes","5","Full-time","Lived with current spouse before married","No","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"58","WA","Not too happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Fairly closely","(VOL) Don't know/Refused","Yes","Yes","No","No",NA,"No","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Not covered by health insurance"
"66","CO","Very happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Not important","Not important","One of the most important things","Somewhat important","No",NA,"0",NA,"Fairly closely","Strongly oppose","Yes","Yes","Yes","No","No","Yes","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"19","GA","Pretty happy","Somewhat important","Somewhat important","Somewhat important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Once a week","0",NA,"Very closely","Oppose","No","No","No","No","Yes","Yes","No",NA,"Part-time",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"24","TX","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Once a week","35",NA,"Fairly closely","Oppose","Yes","Yes","No","No","Yes","Yes","Yes","1","Full-time",NA,"No","Rent","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"18","TX","Pretty happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Once a week","50",NA,"Very closely","Strongly oppose","No","No","Yes","No","Yes","Yes","No",NA,"Not employed",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"73","MI","Pretty happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"66","IL","Pretty happy","Not important","Very important but not the most","Somewhat important","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Fairly closely","Strongly oppose","Yes","No","Yes",NA,NA,"No","Yes","1","Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"48","WI","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","Yes","Every few days","6",NA,"Fairly closely","Oppose","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"22","IL","Very happy","Very important but not the most","One of the most important things","Not important","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most",NA,NA,"30",NA,"Very closely","Oppose","Yes","No","Yes",NA,"Yes","Yes","No",NA,"Full-time",NA,"No","Own","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"40","CA","Very happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","0",NA,"Very closely","Strongly favor","No","Yes","No","No","No","Yes","Yes","2","Full-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"29","CA","Pretty happy","Very important but not the most","Somewhat important","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Less often","125",NA,"Fairly closely","Oppose","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"No","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"33","CA","Pretty happy","Very important but not the most","Very important but not the most","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"100",NA,"Very closely","Strongly favor","Yes","No","No","No","Yes","Yes","Yes","5","Part-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"19","OR","Pretty happy","Very important but not the most","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Somewhat important","Somewhat important","Yes","Several times a day","500",NA,"Fairly closely","Oppose","Yes","No","No","Yes","Yes","Yes","No",NA,"Not employed",NA,"Yes","Live in a dorm","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"23","CO","(VOL) Don't know/Refused","One of the most important things","Very important but not the most","Very important but not the most","One of the most important things","(VOL) Don't know/Refused","(VOL) Don't know/Refused","Very important but not the most","Very important but not the most","No",NA,"200",NA,"Very closely","Strongly oppose","Yes","Yes","No","No","Yes","Yes","Yes","2","Part-time",NA,"(VOL) Don't know/Refused","Rent","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"20","CA","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"4",NA,"Very closely","Oppose","Yes","No","No","No","Yes","Yes","No",NA,"Not employed",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"69","NM","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important",NA,NA,NA,NA,"Fairly closely","Oppose","Yes","Yes","No",NA,NA,"Yes","Yes","1","Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"25","AZ","Very happy","Not important","Very important but not the most","Not important","Not important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Yes","Several times a day","170",NA,"Not too closely","(VOL) Don't know/Refused","(VOL) Don't know/Refused","Yes","Yes","Yes","Yes","Yes","Yes","1","Full-time",NA,"No","Own","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"30","WA","Pretty happy","One of the most important things","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","One of the most important things","One of the most important things","Yes","Once a week","100",NA,"Not at all closely","Strongly oppose","Yes","No","Yes","Yes","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
